Hours since 00:00 Jan 1,System power generated (kW)
1929,0.274767
1930,0.360627
1931,0.605265
1932,0.780553
1933,0.752728
1934,0.664508
1935,0.191967
1936,0.107922
1937,0.0810421
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0.0308439
1951,0.144103
1952,0.278245
1953,0.388914
1954,0.564825
1955,0.584762
1956,0.620296
1957,0.535589
1958,0.527492
1959,0.378141
1960,0.187838
1961,0.0433811
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0.00268514
1975,0.0350486
1976,0.0776365
1977,0.23292
1978,0.379309
1979,0.632914
1980,0.74821
1981,0.714782
1982,0.627639
1983,0.48201
1984,0.287782
1985,0.051413
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0.038674
1999,0.0401856
2000,0.0840064
2001,0.116683
2002,0.307604
2003,0.352257
2004,0.405237
2005,0.269076
2006,0.161226
2007,0.115829
2008,0.0642266
2009,0.0100733
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0.0351316
2023,0.192655
2024,0.114644
2025,0.29297
2026,0.0662702
2027,0.18813
2028,0.836822
2029,0.794645
2030,0.273814
2031,0.196443
2032,0.0548507
2033,0.026277
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0.0370762
2047,0.196349
2048,0.412902
2049,0.593903
2050,0.720196
2051,0.784302
2052,0.61871
2053,0.564847
2054,0.337874
2055,0.17219
2056,0.319658
2057,0.0905841
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0.0385877
2071,0.19622
2072,0.404163
2073,0.574064
2074,0.691084
2075,0.675682
2076,0.672712
2077,0.619164
2078,0.539171
2079,0.399234
2080,0.232739
2081,0.0459987
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
